BuildingIndex,Year,Month,Day,Hour,Quarter,P1(DayOfWeek),P2(Holiday),P3(HighestTemp),P4(Weather)
1,2018,7,31,0,1,2,4,37.2,1
1,2018,7,31,0,2,2,4,37.2,1
1,2018,7,31,0,3,2,4,37.2,1
1,2018,7,31,1,0,2,4,37.2,1
1,2018,7,31,1,1,2,4,37.2,1
1,2018,7,31,1,2,2,4,37.2,1
1,2018,7,31,1,3,2,4,37.2,1
1,2018,7,31,2,0,2,4,37.2,1
1,2018,7,31,2,1,2,4,37.2,1
1,2018,7,31,2,2,2,4,37.2,1
1,2018,7,31,2,3,2,4,37.2,1
1,2018,7,31,3,0,2,4,37.2,1
1,2018,7,31,3,1,2,4,37.2,1
1,2018,7,31,3,2,2,4,37.2,1
1,2018,7,31,3,3,2,4,37.2,1
1,2018,7,31,4,0,2,4,37.2,1
1,2018,7,31,4,1,2,4,37.2,1
1,2018,7,31,4,2,2,4,37.2,1
1,2018,7,31,4,3,2,4,37.2,1
1,2018,7,31,5,0,2,4,37.2,1
1,2018,7,31,5,1,2,4,37.2,1
1,2018,7,31,5,2,2,4,37.2,1
1,2018,7,31,5,3,2,4,37.2,1
1,2018,7,31,6,0,2,4,37.2,1
1,2018,7,31,6,1,2,4,37.2,1
1,2018,7,31,6,2,2,4,37.2,1
1,2018,7,31,6,3,2,4,37.2,1
1,2018,7,31,7,0,2,4,37.2,1
1,2018,7,31,7,1,2,4,37.2,1
1,2018,7,31,7,2,2,4,37.2,1
1,2018,7,31,7,3,2,4,37.2,1
1,2018,7,31,8,0,2,4,37.2,1
1,2018,7,31,8,1,2,4,37.2,1
1,2018,7,31,8,2,2,4,37.2,1
1,2018,7,31,8,3,2,4,37.2,1
1,2018,7,31,9,0,2,4,37.2,1
1,2018,7,31,9,1,2,4,37.2,1
1,2018,7,31,9,2,2,4,37.2,1
1,2018,7,31,9,3,2,4,37.2,1
1,2018,7,31,10,0,2,4,37.2,1
1,2018,7,31,10,1,2,4,37.2,1
1,2018,7,31,10,2,2,4,37.2,1
1,2018,7,31,10,3,2,4,37.2,1
1,2018,7,31,11,0,2,4,37.2,1
1,2018,7,31,11,1,2,4,37.2,1
1,2018,7,31,11,2,2,4,37.2,1
1,2018,7,31,11,3,2,4,37.2,1
1,2018,7,31,12,0,2,4,37.2,1
1,2018,7,31,12,1,2,4,37.2,1
1,2018,7,31,12,2,2,4,37.2,1
1,2018,7,31,12,3,2,4,37.2,1
1,2018,7,31,13,0,2,4,37.2,1
1,2018,7,31,13,1,2,4,37.2,1
1,2018,7,31,13,2,2,4,37.2,1
1,2018,7,31,13,3,2,4,37.2,1
1,2018,7,31,14,0,2,4,37.2,1
1,2018,7,31,14,1,2,4,37.2,1
1,2018,7,31,14,2,2,4,37.2,1
1,2018,7,31,14,3,2,4,37.2,1
1,2018,7,31,15,0,2,4,37.2,1
1,2018,7,31,15,1,2,4,37.2,1
1,2018,7,31,15,2,2,4,37.2,1
1,2018,7,31,15,3,2,4,37.2,1
1,2018,7,31,16,0,2,4,37.2,1
1,2018,7,31,16,1,2,4,37.2,1
1,2018,7,31,16,2,2,4,37.2,1
1,2018,7,31,16,3,2,4,37.2,1
1,2018,7,31,17,0,2,4,37.2,1
1,2018,7,31,17,1,2,4,37.2,1
1,2018,7,31,17,2,2,4,37.2,1
1,2018,7,31,17,3,2,4,37.2,1
1,2018,7,31,18,0,2,4,37.2,1
1,2018,7,31,18,1,2,4,37.2,1
1,2018,7,31,18,2,2,4,37.2,1
1,2018,7,31,18,3,2,4,37.2,1
1,2018,7,31,19,0,2,4,37.2,1
1,2018,7,31,19,1,2,4,37.2,1
1,2018,7,31,19,2,2,4,37.2,1
1,2018,7,31,19,3,2,4,37.2,1
1,2018,7,31,20,0,2,4,37.2,1
1,2018,7,31,20,1,2,4,37.2,1
1,2018,7,31,20,2,2,4,37.2,1
1,2018,7,31,20,3,2,4,37.2,1
1,2018,7,31,21,0,2,4,37.2,1
1,2018,7,31,21,1,2,4,37.2,1
1,2018,7,31,21,2,2,4,37.2,1
1,2018,7,31,21,3,2,4,37.2,1
1,2018,7,31,22,0,2,4,37.2,1
1,2018,7,31,22,1,2,4,37.2,1
1,2018,7,31,22,2,2,4,37.2,1
1,2018,7,31,22,3,2,4,37.2,1
1,2018,7,31,23,0,2,4,37.2,1
1,2018,7,31,23,1,2,4,37.2,1
1,2018,7,31,23,2,2,4,37.2,1
1,2018,7,31,23,3,2,4,37.2,1
1,2018,7,31,24,0,2,4,37.2,1
